student_id,conflict_student_id
agree7,sgood4
agree7,kbray5
agree7,mherm2
ajone1,jsala4
ajone1,wmitc5
ajone1,rgrif8
amay10,dbest4
amay10,hvanc2
amay10,ajone1
amedi4,mgile3
amedi4,wclem9
amedi4,lmcco4
aowen5,nschm3
aowen5,mhale2
aowen5,ccarl8
apere3,mhoga10
apere3,lflyn4
apere3,apitt4
apitt4,bhowe6
apitt4,brhod3
apitt4,smcfa7
awilk9,lho5
awilk9,rhenr7
awilk9,ljenn6
bbenn4,cpayn6
bbenn4,dmaye10
bbenn4,hmeye1
bhowe6,dguer9
bhowe6,rnich4
bhowe6,jcros4
brami4,rryan7
brami4,smcca9
brami4,dgoul9
brhod3,brami4
brhod3,lward2
brhod3,csell2
bspen7,iheat4
bspen7,cdela8
bspen7,jespa1
cburk3,tpach2
cburk3,awilk9
cburk3,mmort3
ccarl8,bspen7
ccarl8,rbowe9
ccarl8,lklei6
ccolo1,wengl4
ccolo1,jnels1
ccolo1,jmart1
cdela8,vhowa6
cdela8,sunde1
cdela8,cstev3
cfern9,rbart6
cfern9,kobri1
cfern9,wdoug6
cfree10,rknig7
cfree10,panth3
cfree10,hcoff10
cgome10,dsava3
cgome10,ehobb7
cgome10,erobi2
cluce8,kfigu4
cluce8,amedi4
cluce8,wwilk6
cpayn6,dhurs6
cpayn6,apere3
cpayn6,phayn1
csell2,vdavi6
csell2,aowen5
csell2,sbran2
cstev3,emyer2
cstev3,cgome10
cstev3,kbail9
dbest4,wcann2
dbest4,eyang4
dbest4,jwill8
dcamp9,cburk3
dcamp9,cfern9
dcamp9,gwhit2
dgoul9,fhatf7
dgoul9,lgarr10
dgoul9,mnixo3
dguer9,schen9
dguer9,agree7
dguer9,wproc8
dhint7,cluce8
dhint7,amay10
dhint7,orosa5
dhurs6,bbenn4
dhurs6,ghold6
dhurs6,jwhee10
dmaye10,ccolo1
dmaye10,dhint7
dmaye10,dritt8
dmcco3,jrubi6
dmcco3,mlevy6
dritt8,dcamp9
dritt8,tcomb10
dritt8,fsoli8
dsava3,cfree10
dsava3,kbray5
dsava3,mherm2
ehobb7,jsala4
ehobb7,wmitc5
ehobb7,rgrif8
emyer2,dbest4
emyer2,hvanc2
emyer2,ajone1
erobi2,mgile3
erobi2,wclem9
erobi2,lmcco4
eyang4,nschm3
eyang4,mhale2
eyang4,ccarl8
fhatf7,mhoga10
fhatf7,lflyn4
fhatf7,apitt4
fsoli8,bhowe6
fsoli8,brhod3
fsoli8,smcfa7
ghold6,lho5
ghold6,rhenr7
ghold6,ljenn6
gwhit2,cpayn6
gwhit2,dmaye10
gwhit2,hmeye1
hcoff10,dguer9
hcoff10,rnich4
hcoff10,jcros4
hmeye1,rryan7
hmeye1,smcca9
hmeye1,dgoul9
hvanc2,brami4
hvanc2,lward2
hvanc2,csell2
iheat4,cdela8
iheat4,jespa1
jcros4,tpach2
jcros4,awilk9
jcros4,mmort3
jespa1,bspen7
jespa1,rbowe9
jespa1,lklei6
jmart1,wengl4
jmart1,jnels1
jnels1,vhowa6
jnels1,sunde1
jnels1,cstev3
jrubi6,rbart6
jrubi6,kobri1
jrubi6,wdoug6
jsala4,rknig7
jsala4,panth3
jsala4,hcoff10
jwhee10,dsava3
jwhee10,ehobb7
jwhee10,erobi2
jwill8,kfigu4
jwill8,amedi4
jwill8,wwilk6
kbail9,dhurs6
kbail9,apere3
kbail9,phayn1
kbray5,vdavi6
kbray5,aowen5
kbray5,sbran2
kfigu4,emyer2
kfigu4,cgome10
kfigu4,kbail9
kobri1,wcann2
kobri1,eyang4
kobri1,jwill8
lflyn4,cburk3
lflyn4,cfern9
lflyn4,gwhit2
lgarr10,fhatf7
lgarr10,mnixo3
lho5,schen9
lho5,agree7
lho5,wproc8
ljenn6,cluce8
ljenn6,amay10
ljenn6,orosa5
lklei6,bbenn4
lklei6,ghold6
lklei6,jwhee10
lmcco4,ccolo1
lmcco4,dhint7
lmcco4,dritt8
lward2,jrubi6
lward2,mlevy6
lward2,dmcco3
mgile3,dcamp9
mgile3,tcomb10
mgile3,fsoli8
mhale2,cfree10
mhale2,sgood4
mhale2,mherm2
mherm2,jsala4
mherm2,wmitc5
mherm2,rgrif8
mhoga10,dbest4
mhoga10,hvanc2
mhoga10,ajone1
mlevy6,mgile3
mlevy6,wclem9
mlevy6,lmcco4
mmort3,nschm3
mmort3,mhale2
mmort3,ccarl8
mnixo3,mhoga10
mnixo3,lflyn4
mnixo3,apitt4
nschm3,bhowe6
nschm3,brhod3
nschm3,smcfa7
orosa5,lho5
orosa5,rhenr7
orosa5,ljenn6
panth3,cpayn6
panth3,dmaye10
panth3,hmeye1
phayn1,dguer9
phayn1,rnich4
phayn1,jcros4
rbart6,rryan7
rbart6,smcca9
rbart6,dgoul9
rbowe9,brami4
rbowe9,lward2
rbowe9,csell2
rgrif8,iheat4
rgrif8,cdela8
rgrif8,jespa1
rhenr7,tpach2
rhenr7,awilk9
rhenr7,mmort3
rknig7,bspen7
rknig7,rbowe9
rknig7,lklei6
rnich4,wengl4
rnich4,jnels1
rnich4,jmart1
rryan7,vhowa6
rryan7,sunde1
rryan7,cstev3
sbran2,rbart6
sbran2,kobri1
sbran2,wdoug6
schen9,rknig7
schen9,panth3
schen9,hcoff10
sgood4,dsava3
sgood4,ehobb7
sgood4,erobi2
smcca9,kfigu4
smcca9,amedi4
smcca9,wwilk6
smcfa7,dhurs6
smcfa7,apere3
