student_id,conflict_student_id
cfree10,sgood4
cfree10,kbray5
cfree10,mherm2
cfree10,jsala4
cfree10,wmitc5
cfree10,rgrif8
cfree10,dbest4
cfree10,hvanc2
cfree10,ajone1
cfree10,mgile3
cfree10,wclem9
cfree10,lmcco4
cfree10,nschm3
cfree10,mhale2
cfree10,ccarl8
cfree10,mhoga10
cfree10,lflyn4
cfree10,apitt4
cfree10,bhowe6
cfree10,brhod3
cfree10,smcfa7
cfree10,lho5
cfree10,rhenr7
cfree10,ljenn6
cfree10,cpayn6
cfree10,dmaye10
cfree10,hmeye1
cfree10,dguer9
cfree10,rnich4
cfree10,jcros4
cfree10,rryan7
cfree10,smcca9
cfree10,dgoul9
cfree10,brami4
cfree10,lward2
cfree10,csell2
cfree10,iheat4
cfree10,cdela8
cfree10,jespa1
cfree10,tpach2
cfree10,awilk9
cfree10,mmort3
cfree10,bspen7
cfree10,rbowe9
cfree10,lklei6
cfree10,wengl4
cfree10,jnels1
cfree10,jmart1
cfree10,vhowa6
cfree10,sunde1
cfree10,cstev3
cfree10,rbart6
cfree10,kobri1
cfree10,wdoug6
cfree10,rknig7
cfree10,panth3
cfree10,hcoff10
cfree10,dsava3
cfree10,ehobb7
cfree10,erobi2
cfree10,kfigu4
cfree10,amedi4
cfree10,wwilk6
cfree10,dhurs6
cfree10,apere3
cfree10,phayn1
cfree10,vdavi6
cfree10,aowen5
cfree10,sbran2
cfree10,emyer2
cfree10,cgome10
cfree10,kbail9
cfree10,wcann2
cfree10,eyang4
cfree10,jwill8
cfree10,cburk3
cfree10,cfern9
cfree10,gwhit2
cfree10,fhatf7
cfree10,lgarr10
cfree10,mnixo3
cfree10,schen9
cfree10,agree7
cfree10,wproc8
cfree10,cluce8
cfree10,amay10
cfree10,orosa5
cfree10,bbenn4
cfree10,ghold6
cfree10,jwhee10
cfree10,ccolo1
cfree10,dhint7
cfree10,dritt8
cfree10,jrubi6
cfree10,mlevy6
cfree10,dmcco3
cfree10,dcamp9
cfree10,tcomb10
cfree10,fsoli8
sgood4,cfree10
sgood4,kbray5
sgood4,mherm2
sgood4,jsala4
sgood4,wmitc5
sgood4,rgrif8
sgood4,dbest4
sgood4,hvanc2
sgood4,ajone1
sgood4,mgile3
sgood4,wclem9
sgood4,lmcco4
sgood4,nschm3
sgood4,mhale2
sgood4,ccarl8
sgood4,mhoga10
sgood4,lflyn4
sgood4,apitt4
sgood4,bhowe6
sgood4,brhod3
sgood4,smcfa7
sgood4,lho5
sgood4,rhenr7
sgood4,ljenn6
sgood4,cpayn6
sgood4,dmaye10
sgood4,hmeye1
sgood4,dguer9
sgood4,rnich4
sgood4,jcros4
sgood4,rryan7
sgood4,smcca9
sgood4,dgoul9
sgood4,brami4
sgood4,lward2
sgood4,csell2
sgood4,iheat4
sgood4,cdela8
sgood4,jespa1
sgood4,tpach2
sgood4,awilk9
sgood4,mmort3
sgood4,bspen7
sgood4,rbowe9
sgood4,lklei6
sgood4,wengl4
sgood4,jnels1
sgood4,jmart1
sgood4,vhowa6
sgood4,sunde1
sgood4,cstev3
sgood4,rbart6
sgood4,kobri1
sgood4,wdoug6
sgood4,rknig7
sgood4,panth3
sgood4,hcoff10
sgood4,dsava3
sgood4,ehobb7
sgood4,erobi2
sgood4,kfigu4
sgood4,amedi4
sgood4,wwilk6
sgood4,dhurs6
sgood4,apere3
sgood4,phayn1
sgood4,vdavi6
sgood4,aowen5
sgood4,sbran2
sgood4,emyer2
sgood4,cgome10
sgood4,kbail9
sgood4,wcann2
sgood4,eyang4
sgood4,jwill8
sgood4,cburk3
sgood4,cfern9
sgood4,gwhit2
sgood4,fhatf7
sgood4,lgarr10
sgood4,mnixo3
sgood4,schen9
sgood4,agree7
sgood4,wproc8
sgood4,cluce8
sgood4,amay10
sgood4,orosa5
sgood4,bbenn4
sgood4,ghold6
sgood4,jwhee10
sgood4,ccolo1
sgood4,dhint7
sgood4,dritt8
sgood4,jrubi6
sgood4,mlevy6
sgood4,dmcco3
sgood4,dcamp9
sgood4,tcomb10
sgood4,fsoli8
kbray5,cfree10
kbray5,sgood4
kbray5,mherm2
kbray5,jsala4
kbray5,wmitc5
kbray5,rgrif8
kbray5,dbest4
kbray5,hvanc2
kbray5,ajone1
kbray5,mgile3
kbray5,wclem9
kbray5,lmcco4
kbray5,nschm3
kbray5,mhale2
kbray5,ccarl8
